career,degree,branch,skills,description
Data Scientist,B.Tech,CSE,Python|ML|SQL,"Analyzing data, building ML models, using Python, statistics"
Web Developer,B.Tech,IT,HTML|CSS|JS,"Building websites, front-end and back-end coding, JavaScript, HTML"
UI/UX Designer,B.Des,Design,Figma|Creativity,"Designing interfaces, user experience, Figma, creativity"
Cloud Engineer,B.Tech,CSE,AWS|DevOps|Linux,"Cloud computing, AWS, deployment, automation"
Machine Learning Engineer,B.Tech,CSE,Python|ML|TensorFlow,"Develop production ML models, deep learning, TensorFlow, model deployment"
DevOps Engineer,B.Tech,CSE,AWS|Docker|Kubernetes,"CI/CD, containerization, deployments, AWS, infrastructure automation"
Mobile Developer,B.Tech,IT,Java|Kotlin|Android,"Building mobile apps for Android/iOS, Kotlin, Java, mobile UI"
Business Analyst,B.Sc,Any,Excel|SQL|Communication,"Data analysis, requirements gathering, SQL, stakeholder communication"
Cybersecurity Analyst,B.Tech,CSE,Networking|Security|SIEM,"Monitor security incidents, threat analysis, network security"
Product Manager,MBA,Management,Strategy|Roadmap|Stakeholders,"Define product strategy, roadmap, cross-functional coordination"
QA Engineer,B.Tech,IT,Selenium|Testing|Automation,"Write test cases, automate UI/API tests, ensure product quality"
Data Engineer,B.Tech,CSE,SQL|ETL|Spark,"Build data pipelines, ETL, work with big data tools like Spark"
Database Administrator,B.Sc,IT,SQL|Backup|Performance,"Manage databases, backups, tuning, SQL expertise"
Embedded Systems Engineer,B.Tech,EEE,C|Microcontrollers|RTOS,"Develop firmware, microcontrollers, embedded C, real-time systems"
